Week,Unit,Focus,Essential Question,Route
20,7,"Fundamental Theorem of Calculus, Part II and Substitution; Improper Integrals and Convergence","How do upper and lower sums make area and accumulation rigorous?",units/unit-07/index.html
21,8,"Pointwise versus Uniform Convergence; Uniform Cauchy Criterion; Weierstrass M-Test","When may limits, derivatives, integrals, and infinite sums be interchanged safely?",units/unit-08/index.html
22,8,"Continuity under Uniform Limits; Interchanging Limits and Integrals","When may limits, derivatives, integrals, and infinite sums be interchanged safely?",units/unit-08/index.html
23,8,"Interchanging Limits and Derivatives; Power-Series Uniformity and Analytic Preview","When may limits, derivatives, integrals, and infinite sums be interchanged safely?",units/unit-08/index.html
24,9,"Sigma-Algebras and Measures; Outer Measure and Measurable Sets; Measurable Functions and Almost-Everywhere Statements","How do measure and Lebesgue integration extend integration and convergence to broader function classes?",units/unit-09/index.html
25,9,"Lebesgue Integral of Simple and Nonnegative Functions; Integrable Functions and Comparison with Riemann Integration","How do measure and Lebesgue integration extend integration and convergence to broader function classes?",units/unit-09/index.html
26,9,"Fatou, Monotone Convergence and Dominated Convergence; Lp Spaces, H\u00f6lder and Minkowski Inequalities","How do measure and Lebesgue integration extend integration and convergence to broader function classes?",units/unit-09/index.html
27,10,"Complex Arithmetic, Geometry and Polar Form; Complex Exponential, Logarithm and Branches; Complex Limits and Continuity","How does complex differentiability create stronger structure than real differentiability?",units/unit-10/index.html
28,10,"Complex Differentiability and Holomorphic Functions; Cauchy\u2013Riemann Equations","How does complex differentiability create stronger structure than real differentiability?",units/unit-10/index.html
29,10,"Harmonic Functions and Harmonic Conjugates; Conformal Maps and M\u00f6bius Transformations","How does complex differentiability create stronger structure than real differentiability?",units/unit-10/index.html
30,11,"Contours and Complex Line Integrals; Primitives and Path Independence; Cauchy\u2013Goursat Theorem; Cauchy Integral Formula","How does contour integration lead to the central rigidity theorems of complex analysis?",units/unit-11/index.html
31,11,"Higher Derivatives and Cauchy Estimates; Liouville\u2019s Theorem and Fundamental Theorem of Algebra; Maximum Modulus, Open Mapping and Identity Theorems","How does contour integration lead to the central rigidity theorems of complex analysis?",units/unit-11/index.html
32,12,"Laurent Series and Annuli of Convergence; Classification of Isolated Singularities; Residues and Coefficient Formulas","How do local singular expansions convert complex integrals into algebraic coefficient calculations?",units/unit-12/index.html
33,12,"Residue Theorem; Real Integrals by Residues","How do local singular expansions convert complex integrals into algebraic coefficient calculations?",units/unit-12/index.html
34,12,"Argument Principle and Rouch\u00e9\u2019s Theorem; Meromorphic Functions and Partial Fractions","How do local singular expansions convert complex integrals into algebraic coefficient calculations?",units/unit-12/index.html
35,13,"Mean-Value Property and Poisson Kernel; Schwarz Lemma and Automorphisms of the Disk; Riemann Mapping Theorem: Statement and Consequences; Analytic Continuation and Monodromy Preview","How do harmonic theory, conformal mapping, analytic continuation, and normal families open pathways to advanced research?",units/unit-13/index.html
36,13,"Normal Families, Montel and Compactness Methods; Special Functions, Gamma and Zeta Previews; Research Problem Design and Literature Architecture; Expository Paper, Proof Defense and Graduate Bridge","How do harmonic theory, conformal mapping, analytic continuation, and normal families open pathways to advanced research?",units/unit-13/index.html
