Week,Unit,Focus,Essential Question,Route
13,5,"Proof by Contraposition; Proof by Contradiction; Irrationality and Divisibility Contradictions","When do indirect methods expose a proof more clearly than direct calculation?",units/unit-05/index.html
14,5,"Infinitude and Existence by Contradiction; Minimal Counterexamples and Infinite Descent","When do indirect methods expose a proof more clearly than direct calculation?",units/unit-05/index.html
15,5,"Contradiction versus Contraposition; Debugging Circular and Hidden-Assumption Proofs","When do indirect methods expose a proof more clearly than direct calculation?",units/unit-05/index.html
16,6,"Proof by Exhaustive Cases; Parity, Sign and Congruence Case Splits; Constructive Existence Proofs","How do proofs establish that objects exist, are unique, or exhaust every possible case?",units/unit-06/index.html
17,6,"Nonconstructive Existence Proofs; Uniqueness Proofs","How do proofs establish that objects exist, are unique, or exhaust every possible case?",units/unit-06/index.html
18,6,"Existence and Uniqueness Together; Classification Theorems and Edge Cases","How do proofs establish that objects exist, are unique, or exhaust every possible case?",units/unit-06/index.html
19,7,"Ordinary Mathematical Induction; Summation and Product Identities; Inductive Inequalities and Thresholds","How do induction and well-ordering prove infinitely many linked statements from finite reasoning?",units/unit-07/index.html
20,7,"Divisibility and Congruence by Induction; Strong Induction","How do induction and well-ordering prove infinitely many linked statements from finite reasoning?",units/unit-07/index.html
21,7,"Well-Ordering and Minimal Counterexample Arguments; Structural Induction on Recursively Defined Objects","How do induction and well-ordering prove infinitely many linked statements from finite reasoning?",units/unit-07/index.html
22,8,"Recursive Definitions and Recursive Proofs; Structural Recursion on Strings and Trees; Loop Invariants: Initialization","How can recursive definitions and invariants establish the correctness and termination of mathematical processes?",units/unit-08/index.html
23,8,"Loop Invariants: Maintenance and Use; Termination and Well-Founded Measures","How can recursive definitions and invariants establish the correctness and termination of mathematical processes?",units/unit-08/index.html
24,8,"Recursive Algorithm Correctness; Proof Obligations, Testing and Formal Verification","How can recursive definitions and invariants establish the correctness and termination of mathematical processes?",units/unit-08/index.html
25,9,"The Division Algorithm and Quotient\u2013Remainder Proofs; Greatest Common Divisors and B\u00e9zout Identity; Prime Divisibility and Euclid\u2019s Lemma","How do divisibility, primes, and congruence provide a rich laboratory for rigorous proof?",units/unit-09/index.html
26,9,"Unique Factorization Arguments; Congruence Proofs and Modular Arithmetic","How do divisibility, primes, and congruence provide a rich laboratory for rigorous proof?",units/unit-09/index.html
27,9,"Linear Diophantine Equations and Modular Inverses; Infinitely Many Primes and Related Constructions","How do divisibility, primes, and congruence provide a rich laboratory for rigorous proof?",units/unit-09/index.html
28,10,"Absolute Value and Inequality Proofs; Bounds, Suprema and Infima; Sequence Convergence from the Definition","How do definitions with inequalities and quantifiers create the rigorous foundations of calculus?",units/unit-10/index.html
29,10,"Limit Laws for Sequences; Cauchy Sequences and Completeness","How do definitions with inequalities and quantifiers create the rigorous foundations of calculus?",units/unit-10/index.html
30,10,"Epsilon\u2013Delta Limits; Continuity and Sequential Characterizations","How do definitions with inequalities and quantifiers create the rigorous foundations of calculus?",units/unit-10/index.html
31,11,"Proofs from Algebraic Axioms; Substructures and Closure Tests; Bijections and Combinatorial Proofs; Pigeonhole and Extremal Arguments","How do proof strategies change across algebraic structures, counting arguments, and finite graphs?",units/unit-11/index.html
32,11,"Double Counting and Inclusion\u2013Exclusion; Graph Proofs with Degrees and Paths; Trees, Cycles and Inductive Graph Proofs","How do proof strategies change across algebraic structures, counting arguments, and finite graphs?",units/unit-11/index.html
33,12,"Writing Definitions and Theorem Statements; Proof Architecture and Paragraph-Level Logic; Notation, Display Mathematics and LaTeX Practice; Citations, Attribution and Source Verification","How does rigorous exposition make a proof inspectable, reproducible, and ethically responsible?",units/unit-12/index.html
34,12,"Peer Review and Constructive Referee Reports; Revision from Mathematical Feedback; Research Ethics, AI Use and Reproducibility","How does rigorous exposition make a proof inspectable, reproducible, and ethically responsible?",units/unit-12/index.html
35,13,"Selecting a Feasible Theorem-Level Question; Literature Search and Mathematical Source Map; Definitions, Examples and Conjecture Refinement; Lemma Design and Dependency Planning","How can a learner formulate, prove, revise, and defend an original theorem-level investigation?",units/unit-13/index.html
36,13,"Proof Construction and Counterexample Search; Peer Review, Gap Repair and Exposition Revision; Research Paper, Reproducible Appendix and Limitations; Oral Defense and Advanced Analysis Bridge","How can a learner formulate, prove, revise, and defend an original theorem-level investigation?",units/unit-13/index.html
