Week,Unit,Focus,Essential Question,Route
14,5,"Quotient Groups and Well-Defined Operations; The First Isomorphism Theorem","How do kernels, images, and quotients expose the internal architecture of groups?",units/unit-05/index.html
15,5,"The Second, Third and Correspondence Theorems; Automorphisms, Inner Symmetry and Characteristic Structure","How do kernels, images, and quotients expose the internal architecture of groups?",units/unit-05/index.html
16,6,"Cauchy\u2019s Theorem and Prime-Order Elements; The Sylow Existence Theorem; Sylow Conjugacy and Counting","How do prime-power subgroups and decomposition theorems constrain finite group structure?",units/unit-06/index.html
17,6,"Groups of Small Order; Finite Abelian Group Classification","How do prime-power subgroups and decomposition theorems constrain finite group structure?",units/unit-06/index.html
18,6,"Semidirect Products and Group Extensions; Simple, Solvable and Composition-Series Foundations","How do prime-power subgroups and decomposition theorems constrain finite group structure?",units/unit-06/index.html
19,7,"Rings, Units and Zero Divisors; Subrings and Ring Homomorphisms; Ideals as Kernels and Absorbing Substructures","How do two compatible operations create ring structure, and how do ideals control quotients and homomorphisms?",units/unit-07/index.html
20,7,"Principal Ideals and Ideal Arithmetic; Quotient Rings and Well-Defined Multiplication","How do two compatible operations create ring structure, and how do ideals control quotients and homomorphisms?",units/unit-07/index.html
21,7,"Prime and Maximal Ideals; Chinese Remainder Theorem for Rings","How do two compatible operations create ring structure, and how do ideals control quotients and homomorphisms?",units/unit-07/index.html
22,8,"Integral Domains and Cancellation; Fields of Fractions and Localization Intuition; Irreducible and Prime Elements","How do divisibility, ideals, and polynomial structure determine when factorization behaves like integer arithmetic?",units/unit-08/index.html
23,8,"Euclidean Domains and the Euclidean Algorithm; Principal Ideal Domains; Unique Factorization Domains","How do divisibility, ideals, and polynomial structure determine when factorization behaves like integer arithmetic?",units/unit-08/index.html
24,8,"Polynomial Rings and Gauss\u2019s Lemma; Irreducibility Tests and Eisenstein\u2019s Criterion","How do divisibility, ideals, and polynomial structure determine when factorization behaves like integer arithmetic?",units/unit-08/index.html
25,9,"Field Extensions and Simple Adjunctions; Minimal Polynomials and Extension Degree; The Tower Law","How do adjoining roots create new fields, and how do finite fields organize algebra, coding, and geometry?",units/unit-09/index.html
26,9,"Splitting Fields and Algebraic Closures; Finite Fields and Frobenius","How do adjoining roots create new fields, and how do finite fields organize algebra, coding, and geometry?",units/unit-09/index.html
27,9,"Existence and Uniqueness of Finite Fields; Constructible Numbers and Classical Geometry","How do adjoining roots create new fields, and how do finite fields organize algebra, coding, and geometry?",units/unit-09/index.html
28,10,"Field Automorphisms and Fixed Fields; Normal and Separable Extensions; The Fundamental Theorem of Galois Theory","How does the symmetry of field extensions govern polynomial equations and classical construction problems?",units/unit-10/index.html
29,10,"Galois Groups of Polynomials; Solvability by Radicals","How does the symmetry of field extensions govern polynomial equations and classical construction problems?",units/unit-10/index.html
30,10,"Cyclotomic Extensions and Roots of Unity; Finite-Field Galois Theory and Frobenius Cycles","How does the symmetry of field extensions govern polynomial equations and classical construction problems?",units/unit-10/index.html
31,11,"Modules as Ring-Based Linear Structure; Submodules, Quotients and Homomorphisms; Free, Torsion and Finitely Generated Modules; The Structure Theorem over a PID","How do modules generalize vector spaces and turn linear algebra into ring-based structure theory?",units/unit-11/index.html
32,11,"Linear Operators as F[x]-Modules; Rational and Jordan Canonical Forms; Representation Theory Foundations","How do modules generalize vector spaces and turn linear algebra into ring-based structure theory?",units/unit-11/index.html
33,12,"Linear Codes over Finite Fields; Cyclic Codes and Polynomial Quotients; Syndromes and Error Correction; Reed\u2013Solomon and Evaluation-Code Foundations","How do algebraic structures create reliable codes, secure protocols, symmetry models, and exact algorithms?",units/unit-12/index.html
34,12,"Cryptographic Groups and Finite-Field Structure; Elliptic-Curve Group Law Foundations; Computational Algebra, Symmetry and Invariants","How do algebraic structures create reliable codes, secure protocols, symmetry models, and exact algorithms?",units/unit-12/index.html
35,13,"Universal Properties and Category-Language Foundations; Exact Sequences and Structural Bookkeeping; Representation Theory Research Directions; Commutative Algebra Research Directions","How can groups, rings, fields, modules, and structure-preserving maps support a defensible advanced research program?",units/unit-13/index.html
36,13,"Algebraic Number Theory Research Directions; Computational Algebra and Reproducible Verification; Capstone Paper, Seminar and Oral Defense","How can groups, rings, fields, modules, and structure-preserving maps support a defensible advanced research program?",units/unit-13/index.html
